Date,Maximum,Minimum,Average,Precipitation,Weekday,weekday_num,Dispatched_calls
2016-09-01,68,58,63.0,0.0,Thursday,3,347
2016-09-02,71,55,63.0,0.0,Friday,4,401
2016-09-03,66,57,61.5,0.0,Saturday,5,341
2016-09-04,67,56,61.5,0.0,Sunday,6,317
2016-09-05,72,53,62.5,0.0,Monday,0,328
2016-09-06,84,54,69.0,0.0,Tuesday,1,410
2016-09-07,88,58,73.0,0.0,Wednesday,2,351
2016-09-08,73,57,65.0,0.0,Thursday,3,322
2016-09-09,67,56,61.5,0.0,Friday,4,324
2016-09-10,67,55,61.0,0.0,Saturday,5,327
2016-09-11,71,55,63.0,0.0,Sunday,6,323
2016-09-12,66,54,60.0,0.0,Monday,0,299
2016-09-13,71,56,63.5,0.0,Tuesday,1,345
2016-09-14,74,56,65.0,0.0,Wednesday,2,329
2016-09-15,65,55,60.0,0.0,Thursday,3,324
2016-09-16,69,55,62.0,0.0,Friday,4,377
2016-09-17,71,53,62.0,0.0,Saturday,5,381
2016-09-18,88,56,72.0,0.0,Sunday,6,424
2016-09-19,85,61,73.0,0.0,Monday,0,372
2016-09-20,73,58,65.5,0.0,Tuesday,1,339
2016-09-21,66,57,61.5,0.0,Wednesday,2,372
2016-09-22,68,56,62.0,0.0,Thursday,3,316
2016-09-23,73,52,62.5,0.0,Friday,4,394
2016-09-24,82,58,70.0,0.0,Saturday,5,423
2016-09-25,94,58,76.0,0.0,Sunday,6,417
2016-09-26,93,63,78.0,0.0,Monday,0,372
2016-09-27,79,56,67.5,0.0,Tuesday,1,321
2016-09-28,68,55,61.5,0.0,Wednesday,2,359
2016-09-29,63,54,58.5,0.0,Thursday,3,315
2016-09-30,65,54,59.5,0.0,Friday,4,353
2016-10-01,69,54,61.5,0.0,Saturday,5,412
2016-10-02,68,56,62.0,,Sunday,6,350
2016-10-03,65,54,59.5,,Monday,0,337
2016-10-04,70,57,63.5,0.0,Tuesday,1,351
2016-10-05,70,54,62.0,0.0,Wednesday,2,323
2016-10-06,75,53,64.0,0.0,Thursday,3,356
2016-10-07,84,54,69.0,0.0,Friday,4,413
2016-10-08,84,57,70.5,0.0,Saturday,5,448
2016-10-09,80,53,66.5,0.0,Sunday,6,375
2016-10-10,71,52,61.5,0.0,Monday,0,353
2016-10-11,68,55,61.5,0.0,Tuesday,1,373
2016-10-12,60,55,57.5,0.0,Wednesday,2,315
2016-10-13,72,55,63.5,0.0,Thursday,3,321
2016-10-14,68,58,63.0,0.23,Friday,4,315
2016-10-15,72,56,64.0,0.4,Saturday,5,352
2016-10-16,66,62,64.0,0.67,Sunday,6,293
2016-10-17,69,58,63.5,0.0,Monday,0,318
2016-10-18,69,56,62.5,0.0,Tuesday,1,341
2016-10-19,74,53,63.5,0.0,Wednesday,2,348
2016-10-20,78,54,66.0,0.0,Thursday,3,377
2016-10-21,73,57,65.0,0.0,Friday,4,355
2016-10-22,67,56,61.5,0.0,Saturday,5,337
2016-10-23,66,51,58.5,0.0,Sunday,6,319
2016-10-24,69,60,64.5,0.03,Monday,0,294
2016-10-25,71,62,66.5,0.04,Tuesday,1,324
2016-10-26,72,58,65.0,0.0,Wednesday,2,379
2016-10-27,65,60,62.5,0.58,Thursday,3,332
2016-10-28,67,61,64.0,0.26,Friday,4,357
2016-10-29,70,61,65.5,0.02,Saturday,5,349
2016-10-30,67,57,62.0,0.52,Sunday,6,350
2016-10-31,66,54,60.0,0.03,Monday,0,332
2016-11-01,64,53,58.5,0.02,Tuesday,1,362
2016-11-02,69,51,60.0,0.0,Wednesday,2,339
2016-11-03,71,53,62.0,0.0,Thursday,3,421
2016-11-04,72,55,63.5,0.0,Friday,4,385
2016-11-05,66,53,59.5,0.0,Saturday,5,377
2016-11-06,67,60,63.5,0.0,Sunday,6,383
2016-11-07,69,57,63.0,0.0,Monday,0,333
2016-11-08,72,57,64.5,0.0,Tuesday,1,360
2016-11-09,75,57,66.0,0.0,Wednesday,2,364
2016-11-10,73,57,65.0,0.0,Thursday,3,327
2016-11-11,69,57,63.0,0.0,Friday,4,395
2016-11-12,70,57,63.5,0.0,Saturday,5,366
2016-11-13,68,54,61.0,0.0,Sunday,6,315
2016-11-14,63,54,58.5,0.0,Monday,0,297
2016-11-15,65,56,60.5,,Tuesday,1,340
2016-11-16,61,50,55.5,0.0,Wednesday,2,379
2016-11-17,61,46,53.5,0.0,Thursday,3,340
2016-11-18,67,46,56.5,0.0,Friday,4,388
2016-11-19,61,55,58.0,0.59,Saturday,5,362
2016-11-20,60,54,57.0,0.2,Sunday,6,313
2016-11-21,61,52,56.5,0.0,Monday,0,343
2016-11-22,60,47,53.5,0.02,Tuesday,1,338
2016-11-23,61,50,55.5,0.03,Wednesday,2,294
2016-11-24,59,44,51.5,0.0,Thursday,3,265
2016-11-25,58,45,51.5,0.0,Friday,4,310
2016-11-26,56,51,53.5,0.51,Saturday,5,318
2016-11-27,59,51,55.0,0.11,Sunday,6,286
2016-11-28,61,51,56.0,,Monday,0,331
2016-11-29,61,44,52.5,0.0,Tuesday,1,306
2016-11-30,56,45,50.5,0.06,Wednesday,2,317
2016-12-01,60,44,52.0,0.0,Thursday,3,353
2016-12-02,62,49,55.5,0.0,Friday,4,432
2016-12-03,62,44,53.0,0.0,Saturday,5,401
2016-12-04,59,45,52.0,0.0,Sunday,6,339
2016-12-05,55,50,52.5,0.0,Monday,0,364
2016-12-06,56,43,49.5,0.0,Tuesday,1,372
2016-12-07,51,42,46.5,0.44,Wednesday,2,350
2016-12-08,61,49,55.0,1.32,Thursday,3,384
2016-12-09,63,56,59.5,0.04,Friday,4,395
2016-12-10,61,52,56.5,0.64,Saturday,5,408
2016-12-11,54,47,50.5,0.0,Sunday,6,368
2016-12-12,55,49,52.0,0.0,Monday,0,436
2016-12-13,55,50,52.5,0.05,Tuesday,1,347
2016-12-14,62,52,57.0,,Wednesday,2,400
2016-12-15,61,51,56.0,1.49,Thursday,3,339
2016-12-16,54,45,49.5,0.0,Friday,4,380
2016-12-17,52,38,45.0,0.0,Saturday,5,361
2016-12-18,53,37,45.0,0.0,Sunday,6,306
2016-12-19,55,36,45.5,0.0,Monday,0,357
2016-12-20,56,40,48.0,0.0,Tuesday,1,329
2016-12-21,62,45,53.5,0.0,Wednesday,2,381
2016-12-22,58,42,50.0,0.0,Thursday,3,389
2016-12-23,57,47,52.0,0.62,Friday,4,376
2016-12-24,52,43,47.5,0.03,Saturday,5,328
2016-12-25,53,37,45.0,0.0,Sunday,6,288
2016-12-26,53,41,47.0,0.0,Monday,0,302
2016-12-27,53,39,46.0,0.0,Tuesday,1,327
2016-12-28,58,40,49.0,0.0,Wednesday,2,340
2016-12-29,58,41,49.5,0.0,Thursday,3,361
2016-12-30,56,43,49.5,0.0,Friday,4,369
2016-12-31,53,44,48.5,,Saturday,5,382
2017-01-01,54,46,50.0,0.05,Sunday,6,505
2017-01-02,52,44,48.0,0.18,Monday,0,327
2017-01-03,59,48,53.5,0.64,Tuesday,1,400
2017-01-04,59,47,53.0,0.49,Wednesday,2,400
2017-01-05,51,41,46.0,0.0,Thursday,3,405
2017-01-06,49,38,43.5,,Friday,4,358
2017-01-07,62,44,53.0,0.84,Saturday,5,366
2017-01-08,64,54,59.0,1.28,Sunday,6,341
2017-01-09,59,53,56.0,0.27,Monday,0,373
2017-01-10,60,56,58.0,1.82,Tuesday,1,385
2017-01-11,58,50,54.0,0.04,Wednesday,2,374
2017-01-12,52,45,48.5,0.3,Thursday,3,370
2017-01-13,57,40,48.5,0.0,Friday,4,384
2017-01-14,58,40,49.0,0.0,Saturday,5,360
2017-01-15,52,41,46.5,0.0,Sunday,6,343
2017-01-16,54,44,49.0,0.0,Monday,0,360
2017-01-17,52,41,46.5,0.0,Tuesday,1,357
2017-01-18,55,49,52.0,0.9,Wednesday,2,334
2017-01-19,58,51,54.5,0.05,Thursday,3,345
2017-01-20,56,43,49.5,1.19,Friday,4,339
2017-01-21,56,48,52.0,0.28,Saturday,5,356
2017-01-22,57,47,52.0,0.68,Sunday,6,305
2017-01-23,54,45,49.5,0.32,Monday,0,372
2017-01-24,54,41,47.5,0.0,Tuesday,1,374
2017-01-25,56,41,48.5,0.0,Wednesday,2,360
2017-01-26,56,43,49.5,0.0,Thursday,3,350
2017-01-27,58,41,49.5,0.0,Friday,4,373
2017-01-28,59,41,50.0,0.0,Saturday,5,355
2017-01-29,60,41,50.5,0.0,Sunday,6,352
2017-01-30,60,42,51.0,0.0,Monday,0,326
2017-01-31,59,42,50.5,0.0,Tuesday,1,346
2017-02-01,56,47,51.5,0.01,Wednesday,2,364
2017-02-02,62,51,56.5,0.15,Thursday,3,377
2017-02-03,61,55,58.0,0.44,Friday,4,426
2017-02-04,61,53,57.0,0.18,Saturday,5,394
2017-02-05,61,50,55.5,0.16,Sunday,6,349
2017-02-06,60,55,57.5,0.49,Monday,0,349
2017-02-07,63,56,59.5,0.93,Tuesday,1,369
2017-02-08,64,56,60.0,0.26,Wednesday,2,348
2017-02-09,63,58,60.5,0.64,Thursday,3,367
2017-02-10,62,51,56.5,0.12,Friday,4,450
2017-02-11,59,47,53.0,0.0,Saturday,5,391
2017-02-12,64,44,54.0,0.0,Sunday,6,368
2017-02-13,63,46,54.5,0.0,Monday,0,355
2017-02-14,66,48,57.0,0.0,Tuesday,1,347
2017-02-15,63,51,57.0,0.0,Wednesday,2,382
2017-02-16,64,55,59.5,0.37,Thursday,3,348
2017-02-17,59,54,56.5,0.86,Friday,4,345
2017-02-18,57,50,53.5,0.19,Saturday,5,363
2017-02-19,58,50,54.0,0.09,Sunday,6,373
2017-02-20,60,54,57.0,2.16,Monday,0,305
2017-02-21,61,50,55.5,0.29,Tuesday,1,384
2017-02-22,55,45,50.0,0.0,Wednesday,2,327
2017-02-23,53,42,47.5,0.0,Thursday,3,328
2017-02-24,54,40,47.0,0.0,Friday,4,355
2017-02-25,56,44,50.0,0.02,Saturday,5,353
2017-02-26,57,40,48.5,0.02,Sunday,6,311
2017-02-27,55,42,48.5,0.05,Monday,0,327
2017-02-28,57,43,50.0,0.0,Tuesday,1,357
2017-03-01,62,43,52.5,0.0,Wednesday,2,349
2017-03-02,66,43,54.5,0.0,Thursday,3,394
2017-03-03,62,44,53.0,0.0,Friday,4,438
2017-03-04,61,51,56.0,0.54,Saturday,5,338
2017-03-05,53,42,47.5,0.29,Sunday,6,359
2017-03-06,56,43,49.5,0.28,Monday,0,360
2017-03-07,59,42,50.5,0.0,Tuesday,1,336
2017-03-08,64,46,55.0,0.0,Wednesday,2,375
2017-03-09,67,50,58.5,0.0,Thursday,3,374
2017-03-10,67,52,59.5,0.0,Friday,4,409
2017-03-11,65,50,57.5,0.0,Saturday,5,405
2017-03-12,70,48,59.0,0.0,Sunday,6,332
2017-03-13,77,48,62.5,0.0,Monday,0,367
2017-03-14,76,54,65.0,0.0,Tuesday,1,390
2017-03-15,62,52,57.0,0.0,Wednesday,2,348
2017-03-16,65,51,58.0,0.0,Thursday,3,383
2017-03-17,71,48,59.5,0.0,Friday,4,384
2017-03-18,69,53,61.0,0.0,Saturday,5,411
2017-03-19,63,54,58.5,0.0,Sunday,6,366
2017-03-20,62,55,58.5,0.52,Monday,0,393
2017-03-21,65,57,61.0,0.28,Tuesday,1,343
2017-03-22,59,52,55.5,0.27,Wednesday,2,343
2017-03-23,61,50,55.5,0.0,Thursday,3,389
2017-03-24,58,53,55.5,0.75,Friday,4,343
2017-03-25,61,52,56.5,0.0,Saturday,5,338
2017-03-26,63,52,57.5,0.02,Sunday,6,356
2017-03-27,61,51,56.0,0.0,Monday,0,350
2017-03-28,68,48,58.0,0.0,Tuesday,1,346
2017-03-29,65,53,59.0,0.0,Wednesday,2,387
2017-03-30,61,51,56.0,0.01,Thursday,3,339
2017-03-31,68,55,61.5,0.0,Friday,4,372
2017-04-01,78,53,65.5,0.0,Saturday,5,386
2017-04-02,74,52,63.0,0.0,Sunday,6,398
2017-04-03,68,49,58.5,0.0,Monday,0,352
2017-04-04,72,48,60.0,0.0,Tuesday,1,354
2017-04-05,68,52,60.0,0.0,Wednesday,2,373
2017-04-06,65,50,57.5,1.01,Thursday,3,367
2017-04-07,64,50,57.0,0.49,Friday,4,379
2017-04-08,56,47,51.5,0.11,Saturday,5,354
2017-04-09,60,45,52.5,0.0,Sunday,6,323
2017-04-10,64,46,55.0,0.0,Monday,0,424
2017-04-11,67,53,60.0,0.05,Tuesday,1,355
2017-04-12,64,54,59.0,0.18,Wednesday,2,345
2017-04-13,59,50,54.5,,Thursday,3,340
2017-04-14,61,47,54.0,0.0,Friday,4,349
2017-04-15,67,46,56.5,0.0,Saturday,5,347
2017-04-16,60,52,56.0,0.08,Sunday,6,305
2017-04-17,62,54,58.0,0.17,Monday,0,331
2017-04-18,67,52,59.5,0.01,Tuesday,1,396
2017-04-19,67,49,58.0,0.1,Wednesday,2,376
2017-04-20,65,54,59.5,,Thursday,3,395
2017-04-21,74,51,62.5,0.0,Friday,4,359
2017-04-22,65,51,58.0,0.0,Saturday,5,328
2017-04-23,64,53,58.5,0.0,Sunday,6,344
2017-04-24,62,53,57.5,0.0,Monday,0,320
2017-04-25,64,52,58.0,0.0,Tuesday,1,336
2017-04-26,64,54,59.0,0.0,Wednesday,2,338
2017-04-27,65,52,58.5,0.0,Thursday,3,397
2017-04-28,68,49,58.5,0.0,Friday,4,359
2017-04-29,77,54,65.5,0.0,Saturday,5,399
2017-04-30,74,50,62.0,0.0,Sunday,6,384
2017-05-01,84,54,69.0,0.0,Monday,0,395
2017-05-02,85,57,71.0,0.0,Tuesday,1,383
2017-05-03,87,53,70.0,0.0,Wednesday,2,414
2017-05-04,66,52,59.0,0.0,Thursday,3,367
2017-05-05,63,51,57.0,0.0,Friday,4,379
2017-05-06,63,50,56.5,0.0,Saturday,5,353
2017-05-07,70,50,60.0,0.0,Sunday,6,335
2017-05-08,70,50,60.0,0.0,Monday,0,332
2017-05-09,75,51,63.0,0.0,Tuesday,1,361
2017-05-10,68,53,60.5,0.0,Wednesday,2,331
2017-05-11,69,52,60.5,0.0,Thursday,3,347
2017-05-12,64,51,57.5,0.0,Friday,4,357
2017-05-13,64,49,56.5,0.0,Saturday,5,328
2017-05-14,62,49,55.5,0.0,Sunday,6,323
2017-05-15,63,50,56.5,0.0,Monday,0,356
2017-05-16,63,52,57.5,,Tuesday,1,302
2017-05-17,66,50,58.0,0.0,Wednesday,2,360
2017-05-18,76,49,62.5,0.0,Thursday,3,368
2017-05-19,80,52,66.0,0.0,Friday,4,336
2017-05-20,87,52,69.5,0.0,Saturday,5,344
2017-05-21,77,53,65.0,0.0,Sunday,6,385
2017-05-22,70,51,60.5,0.0,Monday,0,379
2017-05-23,69,52,60.5,0.0,Tuesday,1,357
2017-05-24,69,53,61.0,0.0,Wednesday,2,351
2017-05-25,65,55,60.0,0.0,Thursday,3,376
2017-05-26,65,54,59.5,0.0,Friday,4,331
2017-05-27,67,54,60.5,0.0,Saturday,5,337
2017-05-28,64,54,59.0,0.0,Sunday,6,328
2017-05-29,60,53,56.5,0.0,Monday,0,305
2017-05-30,63,52,57.5,0.0,Tuesday,1,331
2017-05-31,70,54,62.0,0.0,Wednesday,2,334
2017-06-01,69,55,62.0,0.0,Thursday,3,319
2017-06-02,71,53,62.0,0.0,Friday,4,360
2017-06-03,67,54,60.5,0.0,Saturday,5,326
2017-06-04,67,53,60.0,0.0,Sunday,6,291
2017-06-05,74,51,62.5,0.0,Monday,0,376
2017-06-06,65,52,58.5,0.0,Tuesday,1,314
2017-06-07,68,54,61.0,0.0,Wednesday,2,322
2017-06-08,66,59,62.5,0.05,Thursday,3,400
2017-06-09,66,56,61.0,0.0,Friday,4,338
2017-06-10,68,54,61.0,0.0,Saturday,5,345
2017-06-11,64,54,59.0,0.0,Sunday,6,318
2017-06-12,65,53,59.0,0.0,Monday,0,332
2017-06-13,70,52,61.0,0.0,Tuesday,1,310
2017-06-14,73,53,63.0,0.0,Wednesday,2,344
2017-06-15,72,55,63.5,0.0,Thursday,3,377
2017-06-16,75,57,66.0,0.0,Friday,4,417
2017-06-17,77,55,66.0,0.0,Saturday,5,383
2017-06-18,97,62,79.5,0.0,Sunday,6,407
2017-06-19,77,58,67.5,0.0,Monday,0,355
2017-06-20,72,56,64.0,0.0,Tuesday,1,374
2017-06-21,76,54,65.0,0.0,Wednesday,2,383
2017-06-22,80,59,69.5,0.0,Thursday,3,345
2017-06-23,73,58,65.5,0.0,Friday,4,362
2017-06-24,69,57,63.0,0.0,Saturday,5,357
2017-06-25,68,57,62.5,0.0,Sunday,6,433
2017-06-26,73,59,66.0,0.0,Monday,0,385
2017-06-27,66,57,61.5,0.0,Tuesday,1,320
2017-06-28,66,57,61.5,0.0,Wednesday,2,299
2017-06-29,66,56,61.0,0.0,Thursday,3,305
2017-06-30,65,54,59.5,0.0,Friday,4,344
2017-07-01,66,54,60.0,0.0,Saturday,5,293
2017-07-02,74,54,64.0,0.0,Sunday,6,327
2017-07-03,79,54,66.5,0.0,Monday,0,318
2017-07-04,72,57,64.5,0.0,Tuesday,1,296
2017-07-05,67,55,61.0,0.0,Wednesday,2,349
2017-07-06,73,54,63.5,0.0,Thursday,3,306
2017-07-07,81,54,67.5,0.0,Friday,4,401
2017-07-08,79,56,67.5,0.0,Saturday,5,329
2017-07-09,70,53,61.5,0.0,Sunday,6,350
2017-07-10,68,55,61.5,0.0,Monday,0,316
2017-07-11,73,55,64.0,0.0,Tuesday,1,328
2017-07-12,70,56,63.0,0.0,Wednesday,2,326
2017-07-13,70,54,62.0,0.0,Thursday,3,303
2017-07-14,75,55,65.0,0.0,Friday,4,383
2017-07-15,85,55,70.0,0.0,Saturday,5,363
2017-07-16,84,59,71.5,0.0,Sunday,6,385
2017-07-17,72,57,64.5,0.0,Monday,0,330
2017-07-18,67,55,61.0,0.0,Tuesday,1,330
2017-07-19,70,54,62.0,0.0,Wednesday,2,327
2017-07-20,68,56,62.0,0.0,Thursday,3,314
2017-07-21,70,55,62.5,0.0,Friday,4,338
2017-07-22,80,55,67.5,0.0,Saturday,5,394
2017-07-23,70,56,63.0,0.0,Sunday,6,332
2017-07-24,74,55,64.5,0.0,Monday,0,355
2017-07-25,77,63,70.0,0.0,Tuesday,1,320
2017-07-26,73,57,65.0,0.0,Wednesday,2,330
2017-07-27,76,57,66.5,0.0,Thursday,3,336
2017-07-28,67,57,62.0,0.0,Friday,4,371
2017-07-29,68,57,62.5,0.0,Saturday,5,331
2017-07-30,71,57,64.0,0.0,Sunday,6,319
2017-07-31,69,55,62.0,0.0,Monday,0,320
2017-08-01,75,54,64.5,0.0,Tuesday,1,359
2017-08-02,80,56,68.0,0.0,Wednesday,2,308
2017-08-03,78,61,69.5,0.0,Thursday,3,369
2017-08-04,76,60,68.0,,Friday,4,327
2017-08-05,73,59,66.0,0.0,Saturday,5,360
2017-08-06,71,61,66.0,0.0,Sunday,6,319
2017-08-07,71,61,66.0,0.0,Monday,0,339
2017-08-08,71,60,65.5,0.0,Tuesday,1,355
2017-08-09,67,59,63.0,0.0,Wednesday,2,324
2017-08-10,71,59,65.0,0.0,Thursday,3,345
2017-08-11,71,58,64.5,0.0,Friday,4,383
2017-08-12,73,60,66.5,0.0,Saturday,5,328
2017-08-13,72,60,66.0,0.0,Sunday,6,325
2017-08-14,63,59,61.0,0.0,Monday,0,322
2017-08-15,73,59,66.0,0.0,Tuesday,1,332
2017-08-16,75,60,67.5,0.0,Wednesday,2,385
2017-08-17,72,60,66.0,0.0,Thursday,3,358
2017-08-18,72,59,65.5,0.0,Friday,4,374
2017-08-19,76,59,67.5,0.0,Saturday,5,395
2017-08-20,72,61,66.5,0.0,Sunday,6,383
2017-08-21,75,61,68.0,0.0,Monday,0,359
2017-08-22,73,60,66.5,0.0,Tuesday,1,393
2017-08-23,70,59,64.5,0.0,Wednesday,2,359
2017-08-24,70,58,64.0,0.0,Thursday,3,305
2017-08-25,69,55,62.0,0.0,Friday,4,316
2017-08-26,81,53,67.0,0.0,Saturday,5,363
2017-08-27,77,60,68.5,0.0,Sunday,6,344
2017-08-28,73,58,65.5,0.0,Monday,0,346
2017-08-29,67,58,62.5,0.0,Tuesday,1,310
2017-08-30,69,56,62.5,0.0,Wednesday,2,364
2017-08-31,88,56,72.0,0.0,Thursday,3,387
2017-09-01,104,67,85.5,0.0,Friday,4,603
2017-09-02,104,72,88.0,0.0,Saturday,5,627
2017-09-03,86,68,77.0,0.0,Sunday,6,503
2017-09-04,84,68,76.0,0.0,Monday,0,356
2017-09-05,83,60,71.5,0.0,Tuesday,1,371
2017-09-06,78,64,71.0,,Wednesday,2,407
2017-09-07,72,62,67.0,0.0,Thursday,3,378
2017-09-08,72,60,66.0,0.0,Friday,4,336
